Year,Month,Sample_ID,Site,Replicate,Taxa, wt% N,wt% C,Atomic C:N,d15N permil AIR,d13C permil VPDB,,
2024,May,May-24,EAS,1,Ephemerella,7.78,53.62,8.04,-0.4,-28.36,,
2024,May,May-24,EAS,1,Collembola,10.94,51.26,5.46,-0.97,-26.63,,
2024,May,May-24,EAS,1,Isoperla,11.18,50.6,5.28,4.12,-27.33,,
2024,May,May-24,EAS,1,Dicranota,8.35,57.35,8.02,3.02,-27.21,,
2024,May,May-24,EAS,1,Molophilus,10.29,53.19,6.03,1.43,-27.86,,
2024,May,May-24,FRY,1,Amphinemura,10.72,47.25,5.14,0.93,-26.63,,
2024,May,May-24,FRY,1,Perlesta,11.19,47.75,4.98,4.76,-23.49,,
2024,May,May-24,FRY,1,Isoperla,11.67,49.39,4.94,4.52,-25.92,,
2024,May,May-24,FRY,1,Neophylax,10.09,51.27,5.93,3.65,-21.97,,
2024,May,May-24,FRY,1,Diplectrona,9.93,40.28,4.73,0.49,-26.69,,
2024,May,May-24,FRY,1,Tipula ,9.51,43.79,5.37,1.2,-25.38,,
2024,May,May-24,FRY,1,Leuctra,6.41,47.49,8.64,3.02,-24.83,,
2024,May,May-24,FRY,1,Tanypodinae,11.29,49.21,5.09,4.4,-23.1,,
2024,May,May-24,FRY,1,Pteronarcys,7.18,49.4,8.02,-1.88,-27.84,,
2024,May,May-24,FRY,1,Acroneuria,9.96,51.85,6.08,4.84,-23.98,,
2024,May,May-24,FRY,2,Neophylax,9.1,51.42,6.59,2.77,-24.7,,
2024,May,May-24,FRY,2,Amphinemura,7.69,39.79,6.03,0.81,-26.42,,
2024,May,May-24,FRY,2,Isoperla,8.58,48.41,6.58,3.77,-25.74,,
2024,May,May-24,FRY,2,Perlesta,10.36,46.11,5.19,4.77,-23.66,,
2024,May,May-24,FRY,2,Diplectrona,10.34,45.16,5.1,2.11,-24.84,,
2024,May,May-24,FRY,2,Tallaperla,11.29,49.2,5.08,2.88,-26.09,,
2024,May,May-24,FRY,2,Ephemera,6.87,29.87,5.08,3.51,-22.39,,
2024,May,May-24,FRY,3,Acroneuria,11.4,51.88,5.31,5.63,-22.77,,
2024,May,May-24,FRY,3,Isoperla,9.06,45.83,5.9,3.95,-25.59,,
2024,May,May-24,FRY,3,Perlesta,10.6,44.51,4.9,4.59,-23.81,,
2024,May,May-24,FRY,3,Peltoperla,6.63,51.91,9.13,1.5,-28.22,,
2024,May,May-24,FRY,3,Drunella,5.52,38.83,8.21,0.55,-24.73,,
2024,May,May-24,FRY,3,Diplectrona,7.74,48.97,7.38,2.74,-25.62,,
2024,May,May-24,FRY,3,Nigronia,8.47,52.15,7.18,4.33,-24.3,,
2024,May,May-24,FRY,3,Hydropsyche,10.47,45.15,5.03,1.35,-25.88,,
2024,May,May-24,FRY,3,Leuctra,5.55,44.94,9.45,2.7,-24.94,,
2024,May,May-24,FRY,3,Pteronarcys,7.65,45.36,6.92,-0.84,-27.9,,
2024,May,May-24,RIC,1,Perlesta,10.05,47.2,5.48,8.8,-23.2,,
2024,May,May-24,RIC,1,Tipula ,5.14,29.96,6.8,2.68,-27.22,,
2024,May,May-24,RIC,1,Leuctra,6.31,45.76,8.46,6.71,-25.24,,
2024,May,May-24,RIC,1,Macronychus,8.48,52.78,7.26,3.44,-25.93,,
2024,May,May-24,RIC,1,Hydraena,4.76,44.87,10.99,4.99,-25.68,,
2024,May,May-24,RIC,1,Amphinemura,7.37,39.8,6.3,6.99,-24.63,,
2024,May,May-24,RIC,1,Cheumatopsyche,10.87,49.12,5.27,8.41,-22.9,,
2024,May,May-24,RIC,1,Hydropsyche,6.12,39.23,7.48,6.85,-24.01,,
2024,May,May-24,RIC,1,Sialis,11.55,47.06,4.75,7.91,-23.48,,
2024,May,May-24,RIC,1,Rhyacophila,11.97,48.34,4.71,8.36,-23.29,,
2024,May,May-24,RIC,1,Diplectrona,7.09,43.69,7.19,5.64,-24.68,,
2024,May,May-24,RIC,2,Leuctra,6.19,51.02,9.62,6.82,-25.78,,
2024,May,May-24,RIC,2,Diplectrona,10.33,47.38,5.35,8.24,-23.07,,
2024,May,May-24,RIC,2,Hydropsyche,8.94,46.95,6.13,7.74,-23.5,,
2024,May,May-24,RIC,2,Tipula ,8.3,43.9,6.17,1.81,-27.55,,
2024,May,May-24,RIC,3,Cheumatopsyche,6.45,45.48,8.23,8.31,-23.64,,
2024,May,May-24,RIC,3,Hydropsyche,8.28,52.48,7.4,7.09,-23.25,,
2024,May,May-24,RIC,3,Pycnopsyche,8.65,52.74,7.11,1.3,-25.74,,
2024,May,May-24,RIC,3,Amphinemura,10.34,47.84,5.4,6.33,-21.62,,
2024,May,May-24,RIC,3,Tipula ,8.64,44.21,5.97,3.79,-27.24,,
2024,May,May-24,RIC,3,Acroneuria,10.42,53.87,6.03,8.98,-23.42,,
2024,May,May-24,RIC,3,Perlesta,10.78,48.06,5.2,9.22,-22.05,,
2024,May,May-24,RIC,3,Leuctra,6.81,50.83,8.7,7.01,-24.92,,
2024,May,May-24,RIC,3,Ectopria,10.81,50.89,5.49,4.7,-24.59,,
2024,May,May-24,RIC,3,Diplectrona,10.17,48.43,5.55,7.16,-22.71,,
2024,May,May-24,RIC,3,Hydropsychidae,8.56,40.98,5.58,5.52,-22.64,,
2024,August,Aug-24,EAS,2,Pteronarcys,9.84,50.5,5.99,-0.51,-27.08,,
2024,August,Aug-24,EAS,2,Peltoperla,9.4,52.14,6.47,1.11,-27.37,,
2024,August,Aug-24,EAS,2,Hydropsyche,8.28,51.06,7.19,1.45,-27.2,,
2024,August,Aug-24,EAS,2,Stenonema,6.4,43.32,7.9,1.4,-27.07,,
2024,August,Aug-24,EAS,2,Glossosoma,10.43,51.42,5.75,0.78,-32.88,,
2024,August,Aug-24,EAS,2,Helophorus,8.59,59.62,8.1,2.11,-27.09,,
2024,August,Aug-24,EAS,1,Peltoperla,9.55,53,6.47,1.29,-27.59,,
2024,August,Aug-24,EAS,1,Orthocladiinae,11.24,49.11,5.1,-0.93,-26.93,,
2024,August,Aug-24,EAS,1,Stenonema,8.79,44.69,5.93,2.12,-28.18,,
2024,August,Aug-24,EAS,3,Peltoperla,8.36,49.96,6.97,0.88,-27.81,,
2024,August,Aug-24,FRY,1,Acroneuria,10.81,46.96,5.07,5.54,-24.59,,
2024,August,Aug-24,FRY,1,Hydrochus,9.11,51.59,6.6,2.12,-27.32,,
2024,August,Aug-24,FRY,1,Leuctra,9.31,49.67,6.23,3.19,-26.79,,
2024,August,Aug-24,FRY,1,Nigronia,9.38,40.14,4.99,4.13,-24.8,,
2024,August,Aug-24,FRY,1,Pteronarcys,8.7,49.49,6.64,-0.18,-28.27,,
2024,August,Aug-24,FRY,2,Leuctra,9.6,47.97,5.83,3.78,-26.67,,
2024,August,Aug-24,FRY,2,Pteronarcys,11.01,46.79,4.96,1.4,-26.42,,
2024,August,Aug-24,FRY,2,Stenonema,4.08,36.05,10.3,0.65,-31.64,,
2024,August,Aug-24,FRY,2,Acroneuria,13.4,47.27,4.11,6.09,-23.9,,
2024,August,Aug-24,FRY,3,Psephenus,10.1,47.2,5.45,-0.34,-30.94,,
2024,August,Aug-24,FRY,3,Stenonema,5.02,32.25,7.5,2.56,-28.31,,
2024,August,Aug-24,FRY,3,Acroneuria,11.55,49.68,5.02,4.89,-25.43,,
2024,August,Aug-24,RIC,1,Sciaridae,9.82,51.42,6.11,4.48,-27.37,,
2024,August,Aug-24,RIC,2,Acroneuria,11.53,45.15,4.57,9.56,-22.38,,
2024,August,Aug-24,RIC,2,Dolophilodes,10.34,43.06,4.86,7.78,-24.92,,
2024,August,Aug-24,RIC,2,Leuctra,6.86,48.58,8.27,7.33,-25.5,,
2024,August,Aug-24,RIC,2,Hydropsyche,7.67,37.29,5.67,6.33,-24.53,,
2024,August,Aug-24,RIC,3,Atherix,10.27,46.51,5.28,9.13,-23.89,,
2024,August,Aug-24,RIC,3,Cheumatopsyche,8.04,38.3,5.56,5.94,-24.83,,
2024,August,Aug-24,RIC,3,Hydropsyche,4.8,26.82,6.52,5.25,-25.36,,
